Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8001,60,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,266666.6667,66666.66667,20.0,25.35744467,49,2,49,49.0,0.0,49,49,2,2.0,0.0,2,2,0,0,0,0,48,40,33333.33333,33333.33333,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,202,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1603960.396,19801.9802,67.33333333,76.55281401,152,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,0,0,0,64,64,9900.990099,9900.990099,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,64,0,0,0,0,0,0,2,60,2,264,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
6580,65,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,246153.8462,61538.46154,21.66666667,8.082903769,31,17,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,48,40,30769.23077,30769.23077,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,66150662,16,16,894,6179,499,0,55.875,130.1705932,1460,0,386.1875,589.7892526,106.9225883,0.483744214,2133892.323,3991352.996,9979070,31,66200000,4410042.067,4853488.455,10000000,203,66100000,4408565.933,4885270.735,10000000,188,0,0,0,0,332,404,0.241872107,0.241872107,0,1460,214.3333333,446.9396398,199755.0417,0,0,0,1,0,0,0,0,1,221.03125,55.875,386.1875,332,0,0,0,0,0,0,16,894,16,6179,8192,33,15,20,242100.5,539161.8509,1342660,21887,9948974.5,72228.51836,9979070,9801543,BENIGN
7007,64,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,250000.0,62500.0,21.33333333,9.237604307,32,16,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,48,40,31250.0,31250.0,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,47309,1,1,55,120,55,55,55.0,0.0,120,120,120.0,0.0,3699.084741,42.27525418,47309.0,0.0,47309,47309,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,21.13762709,21.13762709,55,120,76.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,115.0,55.0,120.0,20,0,0,0,0,0,0,1,55,1,120,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115631101,18,16,409,4969,409,0,22.72222222,96.4022245,2836,0,310.5625,775.5282044,46.50997831,0.294038539,3503972.758,4752276.723,10000000,4,116000000,6801829.471,4670566.606,10100000,16,111000000,7371284.0,4595022.989,10100000,187,0,0,0,0,584,520,0.155667462,0.138371077,0,2836,153.6571429,539.764597,291345.8202,0,0,0,1,0,0,0,0,0,158.1764706,22.72222222,310.5625,584,0,0,0,0,0,0,18,409,16,4969,29200,340,1,32,40005.54545,11785.55778,75539,36276,10000000.0,6638.017759,10000000,9997968,BENIGN
53,100780760,2,2,95,350,55,40,47.5,10.60660172,211,139,175.0,50.91168825,4.415525344,0.039690115,33600000.0,58100000.0,101000000,30324,101000000,101000000.0,0.0,101000000,101000000,101000000,101000000.0,0.0,101000000,101000000,0,0,0,0,52,64,0.019845058,0.019845058,40,211,100.0,73.30075034,5373.0,0,0,0,0,0,0,0,0,1,125.0,47.5,175.0,52,0,0,0,0,0,0,2,95,2,350,-1,-1,1,20,30324.0,0.0,30324,30324,101000000.0,0.0,101000000,101000000,BENIGN
443,108055,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,453.4727685,37.01818518,36018.33333,39486.25863,78268,48,78316,39158.0,55309.89242,78268,48,0,0.0,0.0,0,0,0,0,0,0,60,20,27.76363889,9.254546296,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,258,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
41511,48,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,83333.33333,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,48,0,41666.66667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
444,119382036,1157,1157,319630,6942,1271,6,276.2575627,265.155894,6,6,6.0,0.0,2735.520443,19.38315074,51613.50454,688536.9003,24800000,1,119000000,103271.2249,972656.1248,24800000,352,119000000,103271.2033,971529.3733,24800000,464,1,0,0,0,23140,23140,9.691575372,9.691575372,6,1271,141.1088553,231.0500967,53384.14718,0,1,0,0,1,0,0,0,1,141.1698358,276.2575627,6.0,23140,0,0,0,0,0,0,1157,319630,1157,6942,255,3977,1156,20,8742788.75,8670543.965,21700000,3735603,13600000.0,9693511.151,24800000,5373451,Infiltration
8099,71,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,225352.1127,56338.02817,23.66666667,23.35237318,49,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,48,40,28169.01408,28169.01408,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,6049105,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,1.98376454,0.661254847,2016368.333,3398302.467,5939884,37,6049105,3024552.5,4122901.346,5939884,109221,0,0.0,0.0,0,0,0,0,0,0,80,32,0.495941135,0.165313712,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,80,0,0,0,0,0,0,3,12,1,0,29200,14600,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,75898616,13,12,1193,1104,597,0,91.76923077,224.0060095,552,0,92.0,214.8657086,30.26405646,0.32938677,3162442.333,4591516.556,10000000,47,71200000,5929532.5,5108315.077,10100000,6380,75800000,6895291.909,4580238.473,10100000,9058,0,0,0,0,424,392,0.171281121,0.15810565,0,597,88.34615385,211.4806738,44724.07538,0,0,0,1,0,0,0,0,0,91.88,91.76923077,92.0,424,0,0,0,0,0,0,13,1193,12,1104,29200,245,2,32,146446.7143,253952.5788,722357,50343,10000000.0,25955.82889,10000000,9959998,BENIGN
444,119991834,5523,5525,2866110,33406,1274,0,518.940793,204.2035303,267,0,6.046334842,3.512317683,24164.27771,92.07293223,10861.93844,112321.3571,9432176,3,120000000,21729.77798,158193.1653,9432951,493,120000000,21721.7529,158125.0232,9432176,582,0,0,0,0,110472,110512,46.02813221,46.04480002,0,1274,262.4233867,294.3120341,86619.57344,0,0,0,1,0,0,0,0,1,262.4471398,518.940793,6.046334842,110472,0,0,0,0,0,0,5523,2866110,5525,33406,8192,3294,5522,20,997842.0,831471.3076,1585781,409903,8143987.5,1821773.648,9432176,6855799,Infiltration
443,301,3,0,83,0,46,6,27.66666667,20.20725942,0,0,0.0,0.0,275747.5083,9966.777409,150.5,150.6137444,257,44,301,150.5,150.6137444,257,44,0,0.0,0.0,0,0,1,0,0,0,60,0,9966.777409,0.0,6,46,32.25,18.87458609,356.25,0,1,0,0,1,0,0,0,0,43.0,27.66666667,0.0,60,0,0,0,0,0,0,3,83,0,0,289,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31128,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,12850.16705,128.5016705,10376.0,17968.29511,31124,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,40,40,64.25083526,64.25083526,36,164,87.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,40,0,0,0,0,0,0,2,72,2,328,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5623535,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,32.18616048,1.066944546,1124707.0,2438813.392,5487230,4,5623535,1405883.75,2721161.232,5487230,4,0,0.0,0.0,0,0,1,0,0,0,100,20,0.889120455,0.177824091,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,258,363,4,20,92745.0,0.0,92745,92745,5487230.0,0.0,5487230,5487230,BENIGN
45134,57,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,210526.3158,35087.7193,57.0,0.0,57,57,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,17543.85965,17543.85965,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,512,249,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,81011,4,4,168,408,42,42,42.0,0.0,102,102,102.0,0.0,7110.145536,98.75202133,11573.0,20350.38612,49310,3,80844,26948.0,46630.27751,80792,3,49484,16494.66667,28562.67252,49476,4,0,0,0,0,104,80,49.37601067,49.37601067,42,102,68.66666667,31.6227766,1000.0,0,0,0,0,0,0,0,0,1,77.25,42.0,102.0,104,0,0,0,0,0,0,4,168,4,408,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5225,48,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,83333.33333,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,48,0,41666.66667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1026,765,6,5,348,54,168,0,58.0,85.24787387,24,0,10.8,12.29634092,525490.1961,14379.08497,76.5,170.1882944,550,1,210,42.0,67.69785816,157,1,653,163.25,321.1690884,645,1,0,0,0,0,144,124,7843.137255,6535.947712,0,168,33.5,63.41852325,4021.909091,0,0,0,1,0,0,0,0,0,36.54545455,58.0,10.8,144,0,0,0,0,0,0,6,348,5,54,8192,256,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,599181,1,1,42,148,42,42,42.0,0.0,148,148,148.0,0.0,317.0995075,3.337889553,599181.0,0.0,599181,599181,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,1.668944776,1.668944776,42,148,77.33333333,61.19912853,3745.333333,0,0,0,0,0,0,0,0,1,116.0,42.0,148.0,20,0,0,0,0,0,0,1,42,1,148,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,656184,2,2,66,278,33,33,33.0,0.0,139,139,139.0,0.0,524.2432001,6.095851164,218728.0,378772.6669,656097,4,4,4.0,0.0,4,4,83,83.0,0.0,83,83,0,0,0,0,64,64,3.047925582,3.047925582,33,139,75.4,58.0585911,3370.8,0,0,0,0,0,0,0,0,1,94.25,33.0,139.0,64,0,0,0,0,0,0,2,66,2,278,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,10632995,10,11,3167,8315,2812,0,316.7,879.24817,1689,2,755.9090909,734.4812393,1079.846271,1.974984471,531649.75,2229173.391,9999640,4,10600000,1181443.889,3307667.626,9999662,4,10600000,1060045.4,3142197.101,10000000,76,0,0,0,0,212,224,0.940468795,1.034515675,0,2812,521.9090909,806.1707198,649911.2294,0,0,0,1,0,0,0,0,1,546.7619048,316.7,755.9090909,212,0,0,0,0,0,0,10,3167,11,8315,8192,35040,9,20,632793.0,0.0,632793,632793,9999640.0,0.0,9999640,9999640,BENIGN
53,146,2,2,66,170,33,33,33.0,0.0,85,85,85.0,0.0,1616438.356,27397.26027,48.66666667,77.36493607,138,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,13698.63014,13698.63014,33,85,53.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,67.25,33.0,85.0,40,0,0,0,0,0,0,2,66,2,170,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,176254,8,9,496,5355,190,0,62.0,87.52469039,2105,0,595.0,829.4798069,33196.40973,96.45171173,11015.875,15952.52208,34575,1,141630,20232.85714,18190.41251,38359,241,141813,17726.625,25254.87372,66557,1,0,0,0,0,264,296,45.38904082,51.06267092,0,2105,325.0555556,635.8410338,404293.8203,0,0,0,1,0,0,0,0,1,344.1764706,62.0,595.0,264,0,0,0,0,0,0,8,496,9,5355,29200,287,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24180,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,6617.038875,165.4259719,8060.0,13917.04563,24130,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,40,64,82.71298594,82.71298594,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,60921330,9,9,1146,275,1146,0,127.3333333,382.0,275,0,30.55555556,91.66666667,23.32516378,0.295463018,3583607.647,4955641.496,10200000,55,51100000,6382560.125,5253989.649,10200000,186,60900000,7608868.0,4678538.809,10200000,14047,0,0,0,0,296,296,0.147731509,0.147731509,0,1146,74.78947368,266.9441429,71259.17544,0,0,0,1,0,0,0,0,1,78.94444444,127.3333333,30.55555556,296,0,0,0,0,0,0,9,1146,9,275,29200,114,1,32,63584.6,29076.38492,115598,50554,10100000.0,82872.93855,10200000,10000000,BENIGN
1272,2,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,2000000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,0,0,48,0,1000000.0,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31073,4,2,156,486,39,39,39.0,0.0,243,243,243.0,0.0,20661.02404,193.0936826,6214.6,12235.50822,27976,1,27980,9326.666667,16150.79646,27976,1,47,47.0,0.0,47,47,0,0,0,0,104,64,128.7291217,64.36456087,39,243,97.28571429,99.54180744,9908.571429,0,0,0,0,0,0,0,0,0,113.5,39.0,243.0,104,0,0,0,0,0,0,4,156,2,486,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,37646,1,1,58,139,58,58,58.0,0.0,139,139,139.0,0.0,5232.959677,53.12649418,37646.0,0.0,37646,37646,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,26.56324709,26.56324709,58,139,85.0,46.7653718,2187.0,0,0,0,0,0,0,0,0,1,127.5,58.0,139.0,32,0,0,0,0,0,0,1,58,1,139,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
444,117923038,45,40,15754,240,1460,6,350.0888889,505.5940171,6,6,6.0,0.0,135.6308341,0.720809109,1403845.69,10300000.0,92800000,1,118000000,2680057.409,14200000.0,92800000,1,118000000,3023659.462,15100000.0,92800000,1,1,0,0,0,900,800,0.381604823,0.339204287,6,1460,186.3953488,402.603769,162089.7948,0,1,0,0,1,0,0,0,0,188.5882353,350.0888889,6.0,900,0,0,0,0,0,0,45,15754,40,240,255,1452,44,20,2982953.5,2987574.941,5095488,870419,55700000.0,52500000.0,92800000,18600000,Infiltration
443,60678038,30,34,2017,46266,517,0,67.23333333,152.7787861,4380,0,1360.764706,1204.07772,795.7244761,1.054747354,963143.4603,2943192.135,10000000,3,50900000,1754616.586,3846218.945,10100000,190,60600000,1837544.455,3908290.364,10100000,3,0,0,0,0,620,692,0.494412822,0.560334532,0,4380,742.8153846,1087.915135,1183559.34,0,0,0,1,0,0,0,0,1,754.421875,67.23333333,1360.764706,620,0,0,0,0,0,0,30,2017,34,46266,29200,131,29,20,152040.8333,276209.0772,715849,38930,9960965.0,103126.251,10000000,9755224,BENIGN
2106,3,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,1333333.333,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,48,0,666666.6667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,87134888,2,2,118,239,60,58,59.0,1.414213562,163,76,119.5,61.51828996,4.097095988,0.045905837,29000000.0,50200000.0,87000000,23612,87100000,87100000.0,0.0,87100000,87100000,87100000,87100000.0,0.0,87100000,87100000,0,0,0,0,52,52,0.022952919,0.022952919,58,163,83.0,45.35416188,2057.0,0,0,0,0,0,0,0,0,1,103.75,59.0,119.5,52,0,0,0,0,0,0,2,118,2,239,-1,-1,1,20,83744.0,0.0,83744,83744,87000000.0,0.0,87000000,87000000,BENIGN
444,119992821,2252,2250,929308,13500,1272,6,412.6589698,304.9632397,6,6,6.0,0.0,7857.203391,37.51891124,26659.14708,478609.8093,30300000,1,120000000,53306.45091,676742.9543,30300000,113,120000000,53339.03112,676148.0116,30300000,476,0,0,0,0,45040,45000,18.76778945,18.75112179,6,1272,209.3746391,296.4006569,87853.3494,0,0,0,0,1,0,0,0,0,209.4211462,412.6589698,6.0,45040,0,0,0,0,0,0,2252,929308,2250,13500,3294,3294,2251,20,34300000.0,11400000.0,42400000,26200000,19400000.0,15500000.0,30300000,8400626,Infiltration
28201,49,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,81632.65306,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,48,0,40816.32653,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6001936,8,8,369,5325,194,0,46.125,73.2518893,1460,0,665.625,693.1915706,948.6938881,2.6658065,400129.0667,1464521.437,5692058,3,6001936,857419.4286,2133001.204,5692058,3,259166,37023.71429,55063.84535,147364,48,0,0,0,0,184,172,1.33290325,1.33290325,0,1460,334.9411765,562.109917,315967.5588,0,0,0,1,0,0,0,0,1,355.875,46.125,665.625,184,0,0,0,0,0,0,8,369,8,5325,8192,75,6,20,309875.0,0.0,309875,309875,5692058.0,0.0,5692058,5692058,BENIGN
443,115782314,20,19,1461,4014,773,0,73.05,185.2913708,1460,0,211.2631579,467.6539369,47.28701484,0.33683901,3046903.0,4566925.342,10000000,1,116000000,6093806.0,4858566.533,10000000,47,110000000,6137587.167,5021735.358,10000000,1,0,0,0,0,412,392,0.172737954,0.164101056,0,1460,136.875,350.6139076,122930.1122,0,0,0,1,0,0,0,0,0,140.3846154,73.05,211.2631579,412,0,0,0,0,0,0,20,1461,19,4014,8192,5120,19,20,56512.5,97654.7672,366608,28272,9592009.75,1360029.084,10000000,5277246,BENIGN
